hpoID,Batch_Size,lr,Dropout_Rate,Weight_Decay_Beta1,Epsilon,FC_Size
94,256,3e-05,0.7,0.8,1e-08,192
95,64,0.0003,0.3,0.95,1.0,192
96,64,3e-06,0.5,0.9,0.1,64
97,192,3e-05,0.7,0.95,1e-08,64
98,256,3e-05,0.7,0.9,1e-08,64
99,256,3e-06,0.7,0.9,1e-08,64
100,192,0.0003,0.7,0.95,0.1,128
101,192,3e-05,0.5,0.95,1e-08,64
102,256,0.0003,0.5,0.8,0.1,192
103,128,0.0003,0.5,0.8,0.1,64
104,256,3e-05,0.3,0.8,1e-08,192
105,192,3e-05,0.5,0.95,0.1,256
106,64,3e-05,0.3,0.9,0.1,64
107,256,3e-05,0.3,0.95,0.1,192
108,128,3e-05,0.5,0.95,1e-08,256
109,256,0.0003,0.5,0.8,0.1,64
110,192,0.0003,0.5,0.8,0.1,192
111,64,3e-05,0.7,0.95,1e-08,64
112,128,0.0003,0.5,0.9,1.0,256
113,128,0.0003,0.3,0.9,0.1,256
114,128,3e-05,0.5,0.8,0.1,128
115,64,0.0003,0.3,0.9,1.0,64
116,128,3e-06,0.3,0.95,1.0,128
117,128,3e-05,0.5,0.9,1.0,64
118,64,3e-06,0.7,0.8,1e-08,256
119,128,3e-05,0.3,0.95,1e-08,256
120,192,0.0003,0.5,0.8,1.0,64
121,192,3e-06,0.7,0.95,1.0,256
122,192,3e-05,0.7,0.95,0.1,192
123,64,3e-05,0.7,0.8,1e-08,192
124,256,0.0003,0.7,0.8,1.0,192
125,256,3e-05,0.7,0.9,0.1,192
126,192,0.0003,0.5,0.95,1.0,64
127,128,3e-06,0.3,0.8,1e-08,192
128,256,3e-06,0.7,0.8,1.0,64
129,256,0.0003,0.7,0.8,0.1,192
130,64,3e-06,0.3,0.95,1e-08,192
131,256,3e-06,0.3,0.8,0.1,256
132,128,3e-06,0.5,0.9,0.1,128
133,128,3e-05,0.5,0.8,1e-08,64
134,64,3e-05,0.5,0.95,1.0,64
135,192,3e-05,0.7,0.8,1e-08,256
136,128,0.0003,0.7,0.95,1e-08,64
137,256,3e-05,0.3,0.9,1.0,128
138,64,0.0003,0.5,0.95,0.1,192
139,128,3e-06,0.7,0.95,0.1,128
140,64,3e-05,0.5,0.9,1.0,64
141,256,0.0003,0.5,0.95,1.0,256
142,64,3e-05,0.7,0.9,0.1,64
143,64,3e-05,0.3,0.9,1.0,128
144,256,3e-06,0.5,0.8,0.1,128
145,256,3e-06,0.7,0.9,1e-08,256
146,128,0.0003,0.7,0.9,0.1,128
147,256,3e-05,0.7,0.95,1e-08,128
148,256,3e-06,0.3,0.9,0.1,128
149,256,0.0003,0.7,0.9,1.0,128
150,64,3e-05,0.7,0.9,1.0,128
151,128,3e-05,0.5,0.8,1e-08,256
152,192,0.0003,0.7,0.9,1.0,256
153,64,0.0003,0.3,0.95,0.1,128
154,64,3e-06,0.7,0.8,1.0,256
155,64,0.0003,0.5,0.8,0.1,256
156,128,0.0003,0.3,0.95,1.0,192
157,256,0.0003,0.3,0.95,1.0,64
158,64,0.0003,0.7,0.9,0.1,192
159,64,3e-05,0.7,0.8,1.0,192
160,128,3e-05,0.5,0.8,1.0,256
161,64,0.0003,0.7,0.8,1.0,64
162,192,3e-05,0.3,0.9,0.1,128
163,64,3e-05,0.5,0.8,1e-08,256
164,256,3e-06,0.7,0.8,0.1,192
165,256,0.0003,0.5,0.8,0.1,192
166,192,3e-05,0.3,0.9,1.0,128
167,192,3e-06,0.3,0.9,0.1,64
168,64,3e-05,0.3,0.95,1.0,128
169,256,3e-06,0.5,0.95,0.1,192
170,256,3e-06,0.3,0.8,1.0,192
171,192,0.0003,0.7,0.8,0.1,256
172,256,3e-06,0.5,0.8,1.0,256
173,128,3e-05,0.5,0.8,1.0,64
174,128,3e-05,0.7,0.8,0.1,128
175,128,3e-06,0.5,0.8,0.1,128
176,192,3e-05,0.5,0.8,1.0,256
177,128,3e-06,0.5,0.9,1.0,64
178,256,3e-05,0.5,0.9,0.1,64
179,256,0.0003,0.7,0.95,1e-08,128
180,128,3e-06,0.7,0.95,1.0,128
181,128,3e-05,0.5,0.95,1.0,256
182,256,3e-06,0.7,0.95,1e-08,192
183,128,3e-06,0.5,0.9,1e-08,128
184,64,3e-06,0.3,0.95,0.1,256
185,128,0.0003,0.5,0.9,0.1,256
186,64,0.0003,0.3,0.95,1e-08,192
187,256,3e-06,0.5,0.8,1e-08,256
188,256,0.0003,0.3,0.8,0.1,64
189,128,0.0003,0.3,0.95,1e-08,256
190,256,0.0003,0.7,0.95,1.0,128
191,64,3e-06,0.7,0.9,1.0,192
192,128,3e-06,0.3,0.8,0.1,128
193,256,0.0003,0.5,0.8,1e-08,64
194,256,3e-05,0.5,0.8,0.1,192
195,256,3e-06,0.7,0.9,1.0,128
196,128,0.0003,0.7,0.9,1e-08,64
197,256,3e-06,0.3,0.8,1.0,64
198,192,3e-06,0.3,0.9,0.1,64
199,64,3e-06,0.3,0.9,1e-08,256
200,256,0.0003,0.3,0.9,1.0,64
201,256,3e-06,0.7,0.9,1.0,256
202,256,3e-05,0.3,0.8,1e-08,128
203,192,3e-06,0.3,0.9,1e-08,256
204,128,3e-05,0.3,0.95,1.0,64
205,128,3e-06,0.7,0.95,1.0,192
206,128,3e-05,0.7,0.8,1e-08,64
207,64,3e-05,0.7,0.8,1e-08,128
208,64,3e-05,0.3,0.8,1.0,192
209,64,0.0003,0.5,0.9,0.1,128
210,64,3e-05,0.3,0.8,0.1,192
211,64,0.0003,0.3,0.95,1.0,192
212,128,3e-06,0.3,0.95,1.0,128
213,128,3e-05,0.3,0.95,1e-08,192
214,256,0.0003,0.7,0.9,1e-08,256
215,128,3e-05,0.3,0.95,1.0,128
216,64,3e-06,0.7,0.9,0.1,192
217,128,3e-05,0.5,0.95,0.1,256
218,128,3e-06,0.7,0.8,0.1,128
219,64,3e-05,0.3,0.95,0.1,128
220,128,3e-05,0.7,0.9,0.1,128
221,192,0.0003,0.5,0.95,1e-08,256
222,64,0.0003,0.3,0.9,1.0,128
223,64,3e-06,0.7,0.8,1e-08,128
224,64,3e-06,0.7,0.95,1.0,256
225,128,0.0003,0.3,0.95,1.0,192
226,192,0.0003,0.5,0.8,0.1,128
227,64,3e-05,0.7,0.95,1e-08,256
228,64,3e-06,0.3,0.95,1.0,64
229,256,0.0003,0.7,0.95,1.0,256
230,256,3e-05,0.3,0.8,0.1,64
231,128,3e-05,0.3,0.8,0.1,128
232,128,3e-06,0.7,0.9,1.0,128
233,128,3e-05,0.7,0.95,1e-08,256
234,256,3e-06,0.7,0.9,0.1,64
235,256,3e-06,0.5,0.95,1.0,64
236,192,3e-06,0.7,0.9,1e-08,256
237,192,0.0003,0.5,0.8,0.1,192
238,128,3e-06,0.7,0.95,1e-08,64
239,128,3e-06,0.5,0.8,1.0,128
240,64,0.0003,0.7,0.9,1.0,192
241,128,3e-05,0.5,0.9,0.1,192
242,192,3e-06,0.3,0.95,1e-08,192
243,64,3e-06,0.7,0.95,0.1,128
244,256,3e-06,0.5,0.95,1.0,192
245,192,3e-05,0.5,0.9,0.1,256
246,256,3e-05,0.5,0.8,1e-08,256
247,256,3e-05,0.7,0.9,1e-08,192
248,64,3e-05,0.3,0.8,0.1,128
249,256,3e-06,0.3,0.95,1e-08,128
250,64,3e-05,0.5,0.95,0.1,256
251,64,3e-06,0.5,0.8,0.1,256
252,64,3e-06,0.5,0.9,1.0,192
253,64,3e-06,0.7,0.9,1.0,192
254,128,0.0003,0.5,0.95,1.0,256
255,64,3e-06,0.3,0.95,1.0,128
256,192,3e-06,0.5,0.9,1e-08,192
257,64,3e-06,0.7,0.8,1.0,64
258,128,3e-06,0.7,0.9,0.1,128
259,64,3e-05,0.5,0.8,1e-08,128
260,256,0.0003,0.7,0.8,1e-08,128
261,64,0.0003,0.3,0.9,0.1,128
262,256,0.0003,0.5,0.95,0.1,192
263,128,3e-05,0.7,0.95,1e-08,128
264,192,3e-06,0.5,0.8,1e-08,128
265,256,0.0003,0.7,0.8,1e-08,256
266,64,3e-06,0.3,0.9,0.1,128
267,256,0.0003,0.5,0.95,1.0,128
268,64,0.0003,0.5,0.95,1e-08,128
269,256,3e-05,0.3,0.8,1e-08,64
270,192,3e-05,0.5,0.95,1.0,256
271,256,3e-05,0.3,0.95,1.0,192
272,128,0.0003,0.3,0.8,1e-08,128
273,256,3e-06,0.3,0.8,1.0,128
274,64,3e-05,0.7,0.8,1.0,256
275,128,3e-05,0.7,0.95,1e-08,64
276,64,3e-05,0.3,0.8,0.1,64
277,256,3e-05,0.5,0.9,1e-08,192
278,192,3e-06,0.5,0.8,1.0,64
279,192,3e-06,0.7,0.9,1.0,128
280,64,3e-05,0.5,0.8,1e-08,192
281,256,0.0003,0.3,0.9,0.1,64
282,256,3e-05,0.5,0.9,1e-08,256
283,256,3e-05,0.7,0.95,0.1,192
284,256,0.0003,0.5,0.8,1.0,256
285,256,0.0003,0.3,0.9,1e-08,192
286,64,3e-06,0.7,0.9,1.0,256
287,256,0.0003,0.5,0.95,1.0,256
288,192,3e-05,0.3,0.95,0.1,64
289,256,0.0003,0.3,0.95,1.0,128
290,128,3e-06,0.3,0.9,1.0,256
291,64,3e-06,0.3,0.95,0.1,64
292,64,0.0003,0.5,0.8,1.0,256
293,128,3e-06,0.3,0.95,1.0,128
294,64,3e-06,0.7,0.95,1.0,256
295,256,0.0003,0.5,0.95,1.0,128
296,64,3e-05,0.7,0.8,1e-08,256
297,256,3e-05,0.5,0.8,0.1,192
298,128,3e-05,0.5,0.9,1e-08,64
299,64,3e-05,0.3,0.9,0.1,128
300,256,3e-06,0.3,0.9,1e-08,192
301,128,3e-05,0.7,0.95,1e-08,128
302,64,0.0003,0.3,0.9,1.0,192
303,256,3e-05,0.3,0.95,1e-08,128
304,256,3e-06,0.3,0.95,0.1,192
305,64,3e-06,0.5,0.95,1.0,64
306,256,3e-06,0.7,0.9,1e-08,256
307,192,0.0003,0.3,0.8,1e-08,128
308,128,3e-05,0.3,0.95,1e-08,64
309,256,3e-06,0.3,0.8,1e-08,256
310,64,3e-05,0.7,0.9,1e-08,192
311,192,0.0003,0.5,0.9,1e-08,256
312,128,0.0003,0.3,0.8,1.0,192
313,64,3e-06,0.7,0.95,1.0,192
314,256,0.0003,0.3,0.8,0.1,128
315,64,0.0003,0.3,0.8,1e-08,64
316,64,0.0003,0.3,0.95,0.1,192
317,64,3e-05,0.7,0.9,1.0,192
318,256,0.0003,0.5,0.8,1.0,128
319,256,0.0003,0.3,0.95,0.1,128
320,64,0.0003,0.3,0.8,1e-08,256
321,128,3e-05,0.7,0.9,1.0,192
322,64,3e-05,0.3,0.9,1.0,128
323,256,0.0003,0.5,0.9,1e-08,128
324,128,0.0003,0.3,0.95,1.0,64
325,256,3e-06,0.7,0.8,1e-08,192
326,64,3e-06,0.5,0.9,0.1,64
327,64,3e-05,0.3,0.95,1.0,192
328,256,3e-05,0.3,0.9,1.0,64
329,64,3e-05,0.3,0.95,1.0,64
330,64,0.0003,0.7,0.95,0.1,64
331,64,3e-05,0.3,0.8,1.0,256
332,128,0.0003,0.3,0.95,1e-08,128
333,128,0.0003,0.3,0.95,1.0,256
334,128,3e-05,0.7,0.9,1e-08,128
335,256,3e-06,0.3,0.95,1.0,64
336,256,0.0003,0.3,0.8,1e-08,128
337,64,0.0003,0.7,0.8,0.1,128
338,64,3e-06,0.5,0.95,0.1,128
339,128,3e-05,0.7,0.8,1.0,256
340,192,0.0003,0.7,0.9,1e-08,256
341,256,0.0003,0.7,0.95,1.0,128
342,256,3e-06,0.7,0.8,1.0,128
343,256,0.0003,0.5,0.9,1.0,192
344,256,3e-06,0.3,0.9,1e-08,64
345,64,0.0003,0.7,0.9,0.1,128
346,128,3e-06,0.5,0.8,1e-08,128
347,192,0.0003,0.7,0.8,1.0,128
348,128,0.0003,0.3,0.8,1e-08,192
349,256,3e-06,0.3,0.8,1e-08,192
350,192,3e-05,0.7,0.95,0.1,256
351,64,0.0003,0.7,0.9,0.1,192
352,64,0.0003,0.3,0.8,0.1,128
353,256,3e-05,0.3,0.95,1.0,256
354,128,3e-06,0.7,0.95,0.1,256
355,64,3e-05,0.5,0.95,1.0,128
356,256,3e-05,0.3,0.95,1.0,64
357,64,0.0003,0.5,0.9,0.1,192
358,192,0.0003,0.7,0.95,0.1,128
359,256,0.0003,0.5,0.9,1e-08,192
360,256,3e-06,0.5,0.8,1.0,64
361,64,3e-05,0.3,0.95,1e-08,128
362,256,3e-06,0.3,0.9,0.1,192
363,128,3e-06,0.3,0.9,1e-08,192
364,256,0.0003,0.5,0.9,1e-08,192
365,256,3e-06,0.7,0.9,1e-08,256
366,128,3e-05,0.7,0.95,0.1,192
367,128,3e-05,0.3,0.8,1.0,128
368,192,0.0003,0.5,0.8,1.0,192
369,192,3e-06,0.5,0.8,0.1,128
370,64,0.0003,0.7,0.95,1e-08,192
371,256,3e-05,0.3,0.8,1e-08,192
372,256,3e-06,0.3,0.8,1e-08,64
373,192,0.0003,0.5,0.95,0.1,256
374,256,3e-05,0.5,0.95,0.1,64
375,128,0.0003,0.7,0.8,0.1,64
376,192,3e-05,0.3,0.8,1e-08,128
377,192,3e-06,0.5,0.9,0.1,128
378,64,0.0003,0.3,0.9,1e-08,256
379,128,3e-06,0.3,0.9,1.0,128
380,256,3e-05,0.7,0.8,1.0,256
381,256,3e-06,0.3,0.8,1.0,256
382,128,3e-05,0.5,0.8,0.1,256
383,256,3e-06,0.5,0.9,1.0,128
384,256,3e-05,0.7,0.8,1.0,64
385,256,3e-05,0.5,0.8,1e-08,128
386,128,3e-05,0.3,0.9,1.0,256
387,256,3e-05,0.5,0.8,1e-08,64
388,128,3e-05,0.7,0.8,0.1,64
389,64,3e-05,0.3,0.95,0.1,64
390,256,3e-05,0.3,0.95,1e-08,128
391,128,3e-05,0.5,0.95,0.1,64
392,192,3e-06,0.7,0.95,1e-08,192
393,128,0.0003,0.3,0.8,1e-08,192
394,64,3e-06,0.3,0.95,0.1,64
395,256,0.0003,0.5,0.95,1.0,128
396,128,3e-06,0.3,0.8,0.1,128
397,128,3e-05,0.5,0.95,0.1,192
398,256,3e-05,0.3,0.8,1e-08,128
399,128,3e-05,0.7,0.95,0.1,256
400,64,0.0003,0.5,0.9,1.0,128
401,128,0.0003,0.7,0.9,0.1,256
402,128,3e-06,0.5,0.95,1e-08,64
403,64,0.0003,0.5,0.8,1e-08,256
404,256,3e-06,0.5,0.9,0.1,64
405,256,0.0003,0.5,0.9,1.0,256
406,192,3e-06,0.7,0.95,0.1,192
407,128,3e-06,0.5,0.8,0.1,64
408,64,3e-06,0.7,0.95,1e-08,192
409,64,0.0003,0.5,0.9,0.1,192
410,64,0.0003,0.5,0.95,1e-08,192
411,128,0.0003,0.7,0.8,0.1,64
412,64,3e-06,0.7,0.95,1.0,192
413,64,3e-05,0.5,0.95,0.1,192
414,128,0.0003,0.5,0.9,0.1,256
415,64,0.0003,0.7,0.8,1e-08,128
416,128,3e-05,0.7,0.8,1e-08,64
417,128,3e-05,0.3,0.9,0.1,256
418,192,0.0003,0.5,0.95,1.0,128
419,64,3e-05,0.3,0.8,0.1,192
420,256,3e-06,0.7,0.8,1e-08,256
421,128,3e-05,0.5,0.8,1e-08,192
422,256,3e-06,0.5,0.95,0.1,192
423,64,3e-05,0.7,0.95,1.0,64
424,64,3e-06,0.5,0.95,1.0,128
425,256,3e-05,0.3,0.95,1e-08,256
426,128,0.0003,0.7,0.8,1.0,64
427,128,0.0003,0.7,0.9,1e-08,128
428,256,0.0003,0.7,0.8,1e-08,256
429,64,3e-05,0.3,0.95,1e-08,256
430,64,0.0003,0.7,0.95,1e-08,128
431,64,0.0003,0.7,0.95,1.0,256
432,128,0.0003,0.5,0.8,0.1,128
433,256,3e-05,0.3,0.8,1e-08,256
434,64,3e-05,0.5,0.8,0.1,128
435,64,0.0003,0.5,0.9,0.1,192
436,256,0.0003,0.5,0.95,1e-08,192
437,128,3e-05,0.3,0.8,1e-08,192
438,256,3e-05,0.5,0.9,1e-08,128
439,256,3e-06,0.3,0.95,1e-08,256
440,128,0.0003,0.3,0.8,0.1,128
441,128,0.0003,0.3,0.8,1.0,128
442,64,3e-06,0.5,0.95,1.0,256
443,64,3e-06,0.3,0.95,1.0,64
444,64,3e-05,0.3,0.95,1e-08,256
445,64,0.0003,0.5,0.9,1.0,192
446,256,0.0003,0.7,0.95,0.1,128
447,256,3e-05,0.5,0.95,0.1,256
448,256,3e-05,0.5,0.95,0.1,128
449,128,0.0003,0.5,0.9,1e-08,256
450,64,0.0003,0.3,0.9,1e-08,128
451,256,3e-06,0.3,0.95,1.0,256
452,64,3e-06,0.5,0.9,1.0,64
453,128,3e-05,0.3,0.9,1e-08,128
454,192,3e-05,0.5,0.8,1.0,64
455,256,3e-05,0.3,0.9,1e-08,256
456,192,3e-06,0.3,0.9,1.0,192
457,64,3e-05,0.5,0.8,0.1,128
458,64,3e-05,0.7,0.8,0.1,64
459,64,3e-05,0.3,0.8,1.0,128
460,256,3e-05,0.3,0.95,1e-08,128
461,128,0.0003,0.7,0.8,1.0,64
462,256,3e-06,0.7,0.95,0.1,256
463,64,3e-06,0.5,0.95,1e-08,256
464,256,3e-06,0.3,0.9,1e-08,256
465,192,3e-05,0.5,0.9,1.0,256
466,64,3e-05,0.3,0.95,1.0,128
467,64,3e-06,0.3,0.95,0.1,64
468,256,3e-05,0.7,0.95,0.1,192
469,256,3e-05,0.3,0.95,0.1,64
470,64,3e-06,0.3,0.95,0.1,64
471,64,0.0003,0.7,0.8,0.1,256
472,128,3e-05,0.5,0.95,1.0,256
473,128,3e-05,0.5,0.8,1.0,64
474,256,3e-06,0.3,0.8,1.0,192
475,256,0.0003,0.7,0.8,0.1,128
476,256,3e-05,0.7,0.8,0.1,128
477,256,3e-06,0.5,0.8,1e-08,64
478,128,3e-05,0.3,0.95,1.0,256
479,128,0.0003,0.5,0.8,1.0,128
480,128,3e-06,0.5,0.95,1e-08,192
481,128,3e-05,0.7,0.95,1e-08,192
482,192,3e-05,0.7,0.9,0.1,256
483,128,0.0003,0.7,0.95,0.1,192
484,192,3e-06,0.7,0.9,1.0,192
485,64,3e-06,0.3,0.9,1.0,256
486,64,3e-06,0.3,0.95,0.1,64
487,128,0.0003,0.7,0.95,1e-08,256
488,256,3e-06,0.3,0.8,1e-08,256
489,64,3e-05,0.7,0.95,1e-08,64
490,256,3e-05,0.7,0.8,0.1,192
491,256,0.0003,0.3,0.9,1.0,256
492,256,0.0003,0.7,0.9,0.1,128
493,64,3e-05,0.7,0.95,0.1,128
494,64,3e-05,0.7,0.9,1e-08,128
495,192,3e-06,0.7,0.95,0.1,256
496,128,3e-06,0.3,0.95,1e-08,128
497,256,3e-05,0.7,0.95,0.1,128
498,256,3e-05,0.7,0.9,0.1,192
499,192,3e-05,0.7,0.9,0.1,128
500,192,3e-05,0.3,0.95,0.1,64
501,64,0.0003,0.5,0.8,1e-08,128
502,256,0.0003,0.5,0.8,0.1,128
503,64,0.0003,0.3,0.8,1.0,128
504,64,3e-05,0.5,0.95,1.0,64
505,64,3e-06,0.3,0.9,0.1,192
506,192,0.0003,0.3,0.95,1.0,256
507,64,3e-05,0.7,0.8,1e-08,128
508,128,3e-06,0.7,0.9,0.1,192
509,64,3e-05,0.3,0.95,0.1,256
510,256,3e-06,0.5,0.9,1e-08,128
511,256,3e-05,0.7,0.9,1.0,128
512,256,3e-05,0.7,0.95,0.1,256
513,128,3e-06,0.7,0.9,1e-08,256
514,64,0.0003,0.3,0.8,0.1,64
515,128,3e-05,0.3,0.8,1.0,64
516,192,3e-06,0.7,0.8,0.1,192
517,128,0.0003,0.5,0.8,0.1,128
518,128,0.0003,0.7,0.8,0.1,128
519,64,3e-06,0.3,0.8,0.1,128
520,128,3e-06,0.3,0.9,1e-08,128
521,256,0.0003,0.5,0.95,1e-08,192
522,256,0.0003,0.5,0.9,0.1,256
523,64,3e-05,0.3,0.9,0.1,192
524,128,3e-06,0.7,0.8,1.0,192
525,192,0.0003,0.7,0.9,0.1,128
526,128,3e-06,0.5,0.95,1.0,64
527,64,0.0003,0.7,0.8,0.1,256
528,128,3e-05,0.7,0.9,0.1,192
529,64,3e-05,0.3,0.8,1e-08,64
530,192,0.0003,0.3,0.9,0.1,256
531,64,3e-05,0.7,0.8,1e-08,128
532,256,3e-06,0.3,0.8,1e-08,192
533,128,3e-06,0.5,0.9,1.0,256
534,128,3e-06,0.3,0.8,1.0,192
535,64,3e-05,0.7,0.9,1.0,128
536,256,0.0003,0.7,0.95,1.0,128
537,64,3e-05,0.5,0.9,1e-08,192
538,256,0.0003,0.7,0.9,1.0,128
539,192,0.0003,0.5,0.9,1e-08,64
540,256,3e-05,0.3,0.95,1e-08,192
541,128,3e-05,0.3,0.95,1e-08,128
542,64,3e-06,0.3,0.8,0.1,128
543,192,3e-06,0.5,0.9,1.0,128
544,128,0.0003,0.7,0.9,1.0,128
545,256,3e-06,0.7,0.8,0.1,256
546,64,3e-05,0.3,0.95,0.1,256
547,128,3e-05,0.3,0.95,0.1,64
548,192,0.0003,0.5,0.95,1e-08,64
549,64,3e-05,0.7,0.9,1e-08,256
550,128,3e-06,0.5,0.8,0.1,64
551,192,0.0003,0.3,0.95,0.1,64
552,64,0.0003,0.7,0.8,1e-08,256
553,64,3e-06,0.7,0.95,1e-08,192
554,128,0.0003,0.7,0.95,0.1,192
555,128,3e-06,0.3,0.8,1e-08,256
556,128,3e-06,0.7,0.8,1e-08,192
557,256,3e-05,0.5,0.95,0.1,192
558,128,0.0003,0.7,0.9,1e-08,192
559,128,0.0003,0.3,0.8,1e-08,128
560,64,3e-06,0.5,0.95,0.1,64
561,128,3e-06,0.7,0.8,1.0,128
562,128,3e-06,0.7,0.9,1.0,128
563,64,0.0003,0.3,0.9,0.1,256
564,192,0.0003,0.5,0.8,1.0,256
565,256,0.0003,0.3,0.8,0.1,256
566,128,3e-05,0.7,0.9,1e-08,192
567,256,3e-05,0.7,0.9,1.0,192
568,128,3e-05,0.5,0.9,1.0,128
569,64,3e-05,0.7,0.9,0.1,192
570,64,0.0003,0.5,0.95,1e-08,192
571,128,3e-06,0.7,0.9,0.1,256
572,256,3e-06,0.3,0.95,1.0,256
573,192,0.0003,0.3,0.8,1.0,64
574,64,3e-05,0.5,0.9,1.0,128
575,256,3e-06,0.5,0.9,1.0,192
576,64,3e-06,0.3,0.9,0.1,64
577,128,3e-05,0.5,0.8,1e-08,256
578,128,0.0003,0.5,0.95,1e-08,64
579,192,0.0003,0.7,0.95,1.0,256
580,64,3e-05,0.3,0.9,1e-08,192
581,192,3e-05,0.7,0.9,0.1,128
582,64,3e-05,0.7,0.9,1e-08,192
583,64,0.0003,0.7,0.95,0.1,192
584,128,3e-05,0.7,0.95,1e-08,64
585,128,0.0003,0.3,0.8,1.0,128
586,128,3e-06,0.7,0.8,0.1,192
587,256,3e-06,0.5,0.9,1e-08,256
588,256,3e-06,0.7,0.9,1e-08,256
589,128,3e-06,0.7,0.95,1e-08,256
590,128,3e-06,0.7,0.95,1.0,192
591,256,3e-06,0.5,0.8,1.0,64
592,64,3e-06,0.5,0.95,1.0,128
593,64,0.0003,0.3,0.8,0.1,192
594,64,3e-05,0.7,0.95,0.1,256
